1/X15  0C33E
a0     00030
a!     00021
a"     00022
a$     00024
a'     00027
a.     0002E
a1     00031
a2     00032
a3     00033
a4     00034
a5     00035
a6     00036
a7     00037
a8     00038
a9     00039
ACCEPT 0450F
ACOS12 0DBD3
ACOS15 0DBD7
ACTIVE 2F5A8
AD15M  0C366
AD15s  0C369
AD15S  0E19D
AD2-12 0C35F
AD2-15 0C363
ADDF   0C372
ADDONE 0C330
ADDP   03A03
ADDRCK 1C5A5
ADDRSS 0F527
ADHEAD 181B7
ADJA   1289A
ADJN   12825
ADRS40 0F52B
ADRS50 0F551
ADRS80 0F567
ADRSUB 0F4CF
ALINFO 01531
ALLDUN 04BEF
ALMSRV 1257D
ALRM1  2F719
ALRM2  2F725
ALRM3  2F731
ALRM4  2F73D
ALRM5  2F749
ALRM6  2F755
A-MULT 1B349
ANN1.5 2E101
ANNAD1 2E100
ANNAD2 2E102
ANNAD3 2E34C
ANNAD4 2E34E
ARG12  0D67B
ARG15  0D67F
ARGERR 0BF19
ARGF   0D6A4
ARGPR+ 0E8EB
ARGPRP 0E8EF
ARGST- 0E910
ARGSTA 0E90C
ARITH  061E0
ARRYCK 0366A
ARYDC  05178
ARYELM 0B5A7
ARYSIZ 0B61B
ASCICK 0514E
ASCII  0079B
ASIN12 0DBC8
ASIN15 0DBCC
ASLW3  0ED21
ASLW4  0ED1E
ASLW5  0ED1B
ASNMNT 0F5E0
ASRW3  0ED10
ASRW4  0ED0D
ASRW5  0ED0A
ATAN15 0DBBE
ATNCLR 00510
ATNDIS 2F441
ATNFLG 2F442
AUTINC 2F6CB
AVE=C  18BBB
AVE=D1 18BB8
AVM2DS 01C01
AVMEME 2F599
AVMEMS 2F594
AVS2DS 09708
AVS=D0 01494
BACK1B 13B0C
BACK   1BA4F
BACK2B 13B0A
BACK3B 13B08
bALTCH 00BFB
BASCHA 07741
BASCHK 0773E
BASE   0F953
BASICs 000B5
bASSGN 00804
bCARD  00807
bCHARS 00BFB
BCKSPC 151E7
BDISPJ 035A2
bECOMD 00809
BEEP   0EA6E
BF2DS+ 01C08
BF2DSP 01C0E
BF2STK 18663
bFIB   00803
bFILE  00805
BIASA+ 0D52D
BIASC+ 0D540
bIEXKY 00802
BIG    0B747
BitsOK 00001
BLANKC 07818
BLDBIT 019BC
BLDCAT 06300
BLDCON 16279
BLDDSP 01898
BldIM+ 1BA6A
BldIMA 1BA66
BldIMG 1BA68
BLDLCD 0189C
bLEX   00BFC
BLNC+  07810
BLNKCK 051C1
BOPNM- 1B864
BP+C   0EB40
bPILAI 00810
bPILSV 0080F
bROMTB 00BFE
BRT30  0DBE3
BRTF   0DC15
BSCEX2 0743A
BSCEXC 07437
BSCEXT 075CF
bSCRTC 00E00
BSERR  0939A
bSTART 00808
bSTAT  00806
bSTMT  00801
bSTMXQ 00811
C+A2D1 1C053
CALBIN 18D8C
CALL   18DAE
CALLP  0389C
CALSTK 2F5AD
CAT$20 06746
CAT$83 068D4
CAT$90 068D7
CATC++ 03F66
CATCH+ 03F69
CATCHR 03F70
CATEDT 06435
cC->C  00068
CHAIN+ 07C12
CHAIN- 07C1C
-CHAR  1527D
CHEDIT 14C99
CHIRP  0EC5A
CHKAIO 04086
CHKASN 03C57
CHKEOL 13D6D
CHKMAS 0425C
CHKmem 012C7
CHKSET 03149
CHKST+ 03160
CHKSTS 00B8F
CHKSUM 1CDEE
CHNHED 0F579
CHNLST 2F5BE
CHN#SV 2F96F
#CK    03356
CKINF- 18534
CKINFO 18542
CkLoop 1B669
CkLpNC 1B66D
CK"ON" 076AD
CKSREQ 00721
CKSUM2 0AA81
CKSUM3 153A9
CKSUM4 1DBA6
CLASSA 0D590
CLCBFR 2F576
CLCSTK 2F585
Clear  00005
CLLINK 1A72C
CLOSEA 120E4
CLOSEF 12087
CLRFRC 0C6F4
CLRPRM 04827
CMD1ST 01654
CMDFND 01693
CMDINI 016D1
CMDPR" 01627
CMDPTR 2F6D4
CMDS20 01672
CMOSTV 0168F
CMOSTW 2F438
CMPT   125B2
CNFFND 109AC
CNFLCT 0BD15
CNTADR 2F67E
CNVUCR 152A7
CNVWUC 03FB8
COLDST 00000
COLLAP 091FB
COMCK+ 032AE
COMCK  036CD
COMCKO 032AA
COMPL# 07870
CONCOM 0467E
CONF   10212
CONFST 2F9E6
CONVUC 152AA
COPYu  08269
CORUPT 09083
COS12  0D721
COS15  0D725
COUNTC 1C346
CPL#10 07887
CR     2C000
cR->C  00069
cRCL   00067
CRDFIL 1D21D
CREATE 115A7
CRETF+ 084C4
CRFSB- 11664
CRLFND 0229E
CRLFOF 02296
CRLFSD 022A2
CRTF   116C1
CSL9R0 1BA0D
CSLC10 1B418
CSLC11 1B41B
CSLC1  1B441
CSLC12 1B41E
CSLC13 1B421
CSLC14 1B424
CSLC15 1B427
CSLC2  1B43E
CSLC3  1B43B
CSLC4  1B438
CSLC5  1B435
CSLC6  1B432
CSLC7  1B42F
CSLC8  1B42C
CSLC9  1B415
CSLW3  0ED43
CSLW4  0ED40
CSLW5  0ED3D
CSPEED 2F977
CSRC10 1B432
CSRC11 1B435
CSRC1  1B427
CSRC12 1B438
CSRC13 1B43B
CSRC14 1B43E
CSRC15 1B441
CSRC2  1B424
CSRC3  1B421
CSRC4  1B41E
CSRC5  1B41B
CSRC6  1B418
CSRC7  1B415
CSRC8  1B42C
CSRC9  1B42F
CSRW3  0ED32
CSRW4  0ED2F
CSRW5  0ED2C
CURBOT 10059
CURDVC 0A60B
CurOff 00006
CURREN 2F56C
CURRL  2F7E8
CURRST 2F55D
CURSFL 151DF
CURSFR 151D7
CURSOR 2F47E
CURSRD 100A4
CURSRL 151CF
CURSRR 151C7
CURSRT 096C1
CURSRU 1009A
CURTOP 10063
CVUCW  03FBC
D0+2RD 13A32
D0ASC+ 0982C
D0ASCI 09833
D0=AVS 09B2C
